Sunday,
Breakfast (8:00-8:30AM),Creamy millet with blueberries & almonds
Mid-Meal (11:00-11:30AM),Brownie bites
Lunch (2:00-2:30PM),"Green salad with assorted veggies, 3-4 oz tuna or salmon"
Evening (4:00-4:30PM),Fruit & nut bar (Organic)
Dinner (8:00-8:30PM),Black bean soup with whole grain cornbread 
Monday,
Breakfast (8:00-8:30AM),"Yogurt parfait (plain Greek yogurt, berries & other seasonal fruit, 1 T ground flax or chia seeds, pinch of cinnamon)"
Mid-Meal (11:00-11:30AM),Fruit crisp
Lunch (2:00-2:30PM),"Baked sweet potato with butter & cinnamon, kale salad"
Evening (4:00-4:30PM),"Curry hummus, and veggies."
Dinner (8:00-8:30PM),Moroccan chicken with golden roasted cauliflower
Tuesday,
Breakfast (8:00-8:30AM),"Asparagus, mushroom and potato hash."
Mid-Meal (11:00-11:30AM),Chocolate avocado pudding(1/2 cup)
Lunch (2:00-2:30PM),"Green salad with assorted veggies, 1 cup beans (garbanzo, kidney  or black)"
Evening (4:00-4:30PM),Fresh seasonal fruit with handful of raw nuts
Dinner (8:00-8:30PM),"Ratatouille with added cannellini beans, arugula salad"
Wednesday,
Breakfast (8:00-8:30AM),Spiced breakfast quinoa
Mid-Meal (11:00-11:30AM),Poached pears with saffron broth
Lunch (2:00-2:30PM),Lentil soup with delicata squash
Evening (4:00-4:30PM),Celery sticks or apple slices with nut butter
Dinner (8:00-8:30PM),Edamame and salmon stir-fry with miso butter and rice noodles with sauted bok choy
Thursday,
Breakfast (8:00-8:30AM),Seasonal smoothie meal replacement
Mid-Meal (11:00-11:30AM),Summer berry coconut milk popsicle
Lunch (2:00-2:30PM),Summer pasta
Evening (4:00-4:30PM),"Oatmeal with slivered almonds, cinnamon, raisins (1/3 cup)"
Dinner (8:00-8:30PM),"Grass-fed burger (beef, lamb, bison or turkey) with Moroccan sweet potato salad, roasted brussel sprouts"
Friday,
Breakfast (8:00-8:30AM),Whole wheat blueberry pancakes with blueberry drizzle
Mid-Meal (11:00-11:30AM),Apple confit topped with walnuts
Lunch (2:00-2:30PM),"Green salad with assorted veggies, 3-4 oz grilled chicken, homemade dressing"
Evening (4:00-4:30PM),Seasonal smoothie
Dinner (8:00-8:30PM),Grilled fish tacos with cabbage slaw
Saturday,
Breakfast (8:00-8:30AM),Triple greens frittata
Mid-Meal (11:00-11:30AM),Banana ice cream
Lunch (2:00-2:30PM),Roasted vegetable soup or other seasonal veggie soup
Evening (4:00-4:30PM),"Yogurt with berries, walnuts"
Dinner (8:00-8:30PM),Stir-fried baby bok choy with shiitake mushrooms & sesame crusted tofu
