Sunday,
Breakfast (8:00-8:30AM),Brown bread (3 slices) + Milk n Banana shake (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + Grapes (1 cup)
Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Masoor Daal (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Monday,
Breakfast (8:00-8:30AM),Egg Poach n Toast (3 slices) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + 1 Guava
Lunch (2:00-2:30PM),2 Chapati + Mixed Daal (1/2 cup) + 1/4th Fresh lime + Potato n Drumstick curry (1/2 cup) + Fried Fish (1pc)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Tuesday,
Breakfast (8:00-8:30AM),"Vegetable soup (carrot, garlic, spring onions, broccoli, corns) 1 cup + Toast (2 slices) + 4 Almonds + 3 Cashew nuts"
Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Rajma (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Wednesday,
Breakfast (8:00-8:30AM),Spinach Uthappam (2) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + Grapes (1 cup)
Lunch (2:00-2:30PM),2 Chapati + Bengal gram Daal (1/2 cup) + 1/4th Fresh lime + Fried Joseph's coat leaves (1/4th cup) + Paneer/ Soy bean Curry (1/2 cup)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Thursday,
Breakfast (8:00-8:30AM),Brown bread (3 slices) + Milk n Banana shake (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Rajma (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Friday,
Breakfast (8:00-8:30AM),Egg Poach n Toast (3 slices) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + 1 Guava
Lunch (2:00-2:30PM),2 Chapati + Mixed Daal (1/2 cup) + 1/4th Fresh lime + Potato n Drumstick curry (1/2 cup) + Fried Fish (1pc)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
Saturday,
Breakfast (8:00-8:30AM),Spinach Uthappam (2) + Milk (1 cup) + 4 Almonds + 3 Cashew nuts
Mid-Meal (11:00-11:30AM),1 Orange + Pomegranate (1/2 cup)
Lunch (2:00-2:30PM),Parboiled Rice (1 cup) + Daal (1/2 cup) + Fried Joseph's coat leaves (1/4th cup) + 1/4th fresh lime + Fish/ Egg/ Veg. Curry (1/2 cup)
Evening (4:00-4:30PM),1 cup Green tea + Roasted Rice flakes n grated coconut (1/3 cup)
Dinner (8:00-8:30PM),2-3 Chapati + Veg./ Fish Curry (1/2 cup) + Fried Beetroot (1/3 cup)
